,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3688,Bloodsucking Bastards,67%,48%,,"comedy,horror",English,BrianJamesO'Connell,"PatrickRizzotti,BrettForbes,BrandonEvans,JustinWare,ColleenHard","Dr.God,RyanMitts","Sep4,2015 limited","Oct25,2016",1h27m,"FortressFeatures,MTYProductions",,,,
3689,The End Of The Tour,92%,81%,R(SomeSexualReferences|Language),drama,English,JamesPonsoldt,"DavidKanter,MattDeRoss,JamesDahl,MarkC.Manuel,TedO'Neal",DonaldMargulies,"Jul31,2015 limited","Aug15,2016",1h46m,AnonymousContent,,DolbyDigital,$3.0M,
3690,Best Of Enemies,93%,85%,R(SomeSexualContent/Nudity|Language),"drama,history,documentary,biography",English,"MorganNeville,RobertGordon","RobertGordon,MorganNeville",,"Jul31,2015 limited","Nov9,2016",1h28m,"TremoloProductions,MediaRanch",,,$892.0K,
3691,Digging For Fire,66%,41%,R(Language|DrugUse|BriefGraphicNudity|SomeSexualReferences),"mysteryandthriller,drama",English,JoeSwanberg,"JoeSwanberg,JakeJohnson,AliciaVanCouvering","JoeSwanberg,JakeJohnson","Aug21,2015 limited","Aug25,2015",1h23m,GarrettMotionPictures,,,$119.4K,
3692,The Final Girls,72%,70%,PG-13(Language|HorrorViolence|DrugUse|SomeCrudeandSexualMaterial),"comedy,horror",English,ToddStrauss-Schulson,"MichaelLondon,JaniceWilliams","JoshuaJohnMiller,M.A.Fortin","Oct9,2015 limited","Feb8,2017",1h28m,"GroundswellProductions,UlteriorProductions",,,,
3693,My Italian Secret: The Forgotten Heroes,80%,69%,,biography,English,OrenJacoby,OrenJacoby,OrenJacoby,,"Dec5,2016",1h32m,,,,,
3694,The Gift,91%,75%,R(Language),mysteryandthriller,English,JoelEdgerton,"JasonBlum,RebeccaYeldham,JoelEdgerton",JoelEdgerton,"Aug7,2015 wide","Sep6,2016",1h48m,Blumhouse,Flat(1.85:1),,$43.8M,
3695,GTFO: Get The F&#% Out,100%,32%,,,,ShannonSun-Higginson,,,,,,,,,,
3696,7 Chinese Brothers,77%,44%,,comedy,English,BobByington,"SeanaFlanagan,NancySchafer,MollyChristieBenson",BobByington,"Aug28,2015 limited","Oct28,2015",1h15m,FaliroHouse,,,,
3697,Stung,NaN,NaN,,,,,,,,,,,,,,
3698,Tap World,86%,59%,,"music,drama,documentary,history",English,DeanHargrove,"StevenPoster,ChloeArnold,MaudArnold,GeorgeMandl",,,"Dec5,2016",1h12m,,,,,
3699,The Diabolical,40%,19%,,"mysteryandthriller,horror",English,AlistairLegrand,RossM.Dinerstein,"AlistairLegrand,LukeHarvis","Oct16,2015 limited","Feb6,2017",1h26m,Campfire,,,,
3700,Ronaldo,NaN,NaN,,,,,,,,,,,,,,
3701,The Forgotten Space,71%,40%,,documentary,English,"NoëlBurch,AllanSekula","JoostVerhey,FrankVanReemst",,,"Feb17,2016",1h56m,,,,,
3702,Tomorrowland,50%,49%,PG(Sci-FiActionPeril|Language|Sci-FiActionViolence|ThematicElements),"adventure,scifi,mysteryandthriller",English,BradBird,"DamonLindelof,BradBird,JeffreyChernov","DamonLindelof,BradBird","May22,2015 wide","Oct13,2015",2h9m,WaltDisneyPictures,,,$93.4M,
3703,Jurassic World,70%,78%,PG-13(Peril|IntenseSci-FiViolence),"adventure,scifi,mysteryandthriller,action",English,ColinTrevorrow,"FrankMarshall,PatrickCrowley","RickJaffa,AmandaSilver,DerekConnolly,ColinTrevorrow","Jun12,2015 wide","Sep6,2016",2h4m,"AmblinEntertainment,UniversalPictures,LegendaryPictures",,"Datasat,DolbyDigital",$652.2M,JurassicPark
3704,Blackwood,40%,35%,,"adventure,mysteryandthriller",English(UnitedKingdom),AdamWimpenny,AdamMorane-Griffiths,J.S.Hill,,"Jan14,2017",1h30m,,,,,
3705,San Andreas,50%,52%,PG-13(IntenseDisasterAction|BriefStrongLanguage|MayhemThroughout),"adventure,mysteryandthriller,action",English,BradPeyton,BeauFlynn,CarltonCuse,"May29,2015 wide","Jun28,2016",1h54m,"VillageRoadshowPictures,RatPac-DuneEntertainment,NewLineCinema",,DolbyDigital,$155.2M,
3706,Seeds Of Time,67%,50%,,documentary,English,SandyMcLeod,"SandyMcLeod,EmilyTriantaphyllis,J.D.Marlow",,,"Sep13,2016",1h17m,,,,,
3707,Drug Lord: The Legend Of Shorty,63%,43%,,documentary,English,AngusMacQueen,"SimonChinn,AndrewMackenzie",,"Nov14,2014 limited","Aug10,2016",1h30m,"RonachanFilms,TwofourProductions",,,,
3708,Güeros,92%,79%,,comedy,Spanish,AlonsoRuizPalacios,"CoriaCorial,JoséFelipe,RamiroRuiz","AlonsoRuizPalacios,GibránPortela","May20,2015 limited","Oct21,2016",1h48m,"PostalProducciones,Conaculta,InstitutoMexicanodeCinematografía(IMCINE)",,,,
3709,Xenia,86%,55%,,drama,Greek,PanosH.Koutras,"AlexandraBoussiou,RémiBurah,SébastienDelloye,DianaElbaum","PanosH.Koutras,PanagiotisEvangelidis","Oct9,2015 limited","Aug10,2016",2h8m,,,,$3.2K,
3710,Testament Of Youth,84%,78%,PG-13(ThematicMaterial|Bloody/DisturbingWarImages),"war,drama,history,biography",English,JamesKent,"DavidHeyman,RosieAlison",JulietteTowhidi,"Jun5,2015 limited","Nov30,2016",2h9m,HeydayFilms,,,$1.8M,
3711,Paper Towns,58%,47%,PG-13(Drinking|AllInvolvingTeens|SexualityandPartialNudity|SomeLanguage),"adventure,mysteryandthriller,comedy,drama",English,JakeSchreier,"WyckGodfrey,MartyBowen","ScottNeustadter,MichaelH.Weber","Jul24,2015 wide","Oct9,2015",1h49m,Fox2000Pictures,,,$31.9M,
3712,Sunset Edge,69%,66%,,"mysteryandthriller,drama",English,DanielPeddle,DanielPeddle,DanielPeddle,"May29,2015 limited","Oct27,2016",1h23m,,,,,
3713,Cut Snake,69%,46%,R(Language|Violence|Sexuality),"crime,mysteryandthriller,drama",English(Australia),TonyAyres,"TrevorBlainey,MichaelMcMahon",BlakeAyshford,"Oct16,2015 limited","Nov24,2015",1h34m,,,,$1.6K,
3714,Meet Me In Montenegro,50%,59%,,romance,English,"AlexHoldridge,LinneaSaasen","ChrisAagaard,SethCaplan,InekeHagedorn,AlexHoldridge,PeterPrincipato,LinneaSaasen","AlexHoldridge,LinneaSaasen","Jul10,2015 limited","Mar8,2016",1h30m,GoodVikingProductions,,,$6.0K,
3715,Hungry Hearts,63%,56%,,"mysteryandthriller,drama",English,SaverioCostanzo,"MarioGianani,LorenzoMieli",SaverioCostanzo,"Jun5,2015 limited","Apr4,2017",1h52m,"Wildside,RaiCinema",,,,
3716,The Little Death,61%,64%,,romance,English,JoshLawson,"JamieHilton,MichaelPetroni,MattReeder",JoshLawson,"Jun26,2015 limited","Nov18,2016",1h36m,"HeadGearFilms,MetrolTechnology",,,$18.2K,
3717,When Marnie Was There,91%,88%,PG(ThematicElements|Smoking),"anime,kidsandfamily,fantasy,mysteryandthriller,drama",Japanese,HiromasaYonebayashi,"YoshiakiNishimura,KojiHoshino","HiromasaYonebayashi,KeikoNiwa,MasashiAndo","May22,2015 limited","Dec12,2019",1h43m,StudioGhibli,,,$314.3K,
3718,Gloria,100%,67%,R(SomeDisturbingMaterial|BriefGraphicNudity|SexualContent|Language),"drama,biography",Spanish,ChristianKeller,"MatthiasEhrenberg,RicardoKleinbaum,AlanB.Curtiss",,,"Jan5,2016",2h6m,RioNegro,,,,
3719,Z For Zachariah,79%,45%,PG-13(BriefStrongLanguage|ASceneofSexuality|PartialNudity),"scifi,mysteryandthriller,drama",English,CraigZobel,"SigurjonSighvatsson,ThorS.Sigurjonsson,SkuliFr.Malmquist,TobeyMaguire,MatthewPlouffe,SophiaLin",NissarModi,"Aug28,2015 limited","Jun7,2016",1h37m,"ZikZakFilmworks,Material,SighvatssonFilms",,,$118.5K,
3720,Batkid Begins,82%,83%,PG(SomeMildThematicMaterial),documentary,English,DanaNachman,"LizaMeak,DanaNachman",,"Jun26,2015 limited","Oct25,2016",1h29m,,Flat(1.85:1),,$73.0K,
3721,Going Clear: Scientology And The Prison Of Belief,95%,90%,,documentary,English,AlexGibney,"AlexGibney,KristenVaurio,LawrenceWright",,,"Aug10,2016",1h59m,"HBODocumentaryFilms,JigsawProds.",,,,
3722,Me And Earl And The Dying Girl,81%,86%,PG-13(Language|DrugMaterial|SexualContent|SomeThematicElements),"comedy,drama",English,AlfonsoGomez-Rejon,"JeremyDawson,StevenRales,DanFogelman",JesseAndrews,"Jul3,2015 wide","Oct2,2015",1h45m,RhodeIslandAvenue,,,$6.6M,
3723,People Places Things,76%,72%,R(SomeSexualReferences|Language|BriefNudity),comedy,English,JamesC.Strouse,"MichaelB.Clark,AlexTurtletaub",JamesC.Strouse,"Aug14,2015 limited","May11,2016",1h26m,BeachsideFilms,,,$407.2K,
3724,The Wolfpack,86%,68%,R(Language),"documentary,biography",English,CrystalMoselle,"HunterGray,CrystalMoselle,AlexOrlovsky",,"Jun12,2015 limited","Dec5,2016",1h29m,CandescentFilms,,,,
3725,Dope,89%,83%,R(DrugContent|AllInvolvingTeens|Language|Sexuality/Nudity|SomeViolence),comedy,English,RickFamuyiwa,"NinaYangBoniovi,ForestWhitaker",RickFamuyiwa,"Jun19,2015 wide","Jan5,2016",1h43m,"SignificantProds.,RevoltFilms,IAmOtherEntertainment",Scope(2.35:1),,$17.5M,
3726,Call Me Lucky,85%,80%,,documentary,English,BobcatGoldthwait,"CharlieFonville,ClintonTrucks",,"Aug7,2015 limited","Aug18,2016",1h46m,Type55Films,,,,
3727,Faith Of Our Fathers,9%,56%,PG-13(BriefWarViolence),drama,English,CareyScott,"DavidA.R.White,MichaelM.Scott,SheleneBryan,KevinDownes,BobbyDownes","CareyScott,HaroldUhl,KevinDownes,DavidA.R.White","Jul1,2015 wide","May3,2016",1h36m,"PureFlixEntertainment,SamuelGoldwynFilms",,,$1.0M,
3728,The Gallows,14%,22%,R(Terror|DisturbingViolentContent),"mysteryandthriller,horror",English,"ChrisLofing,TravisCluff","JasonBlum,GuymonCasady,DeanSchnider,BenjaminForkner,ChrisLofing,TravisCluff","ChrisLofing,TravisCluff","Jul10,2015 wide","Jun28,2016",1h21m,"NewLineCinema,BlumhouseProductions",Flat(1.85:1),DolbyDigital,$22.8M,
3729,Dragon Ball Z: Resurrection 'F',83%,84%,,"anime,action,adventure,kidsandfamily,fantasy",Japanese,TadayoshiYamamuro,,AkiraToriyama,"Aug4,2015 limited","Aug3,2016",1h33m,,,Dolby,$7.9M,DragonBall
3730,After Words,38%,55%,,"romance,drama",English,JuanFeldman,"JuanFeldman,ShannonCampbell,ChristianCalderon",JoelSilverman,"Aug21,2015 limited","Nov18,2016",1h31m,"ManoaManoFilms,ClassicFilms",,,,
3731,The Vatican Tapes,20%,59%,PG-13(SomeSexualReferences|DisturbingViolentContent),"mysteryandthriller,horror",English,MarkNeveldine,"TomRosenberg,GaryLucchesi,RichardS.Wright,ChrisMorgan,ChrisCowles","ChristopherBorrelli,MichaelC.Martin","Jul24,2015 wide","May13,2016",1h29m,"LionsgateFilms,LakeshoreEntertainment",,"Datasat,SDDS,DolbyDigital",$1.8M,
3732,Anthony Jeselnik: Thoughts And Prayers,100%,100%,,,,,,,,,,,,,,
3733,Poltergeist,31%,22%,PG-13(Intense/FrighteningSequences|BriefSuggestiveMaterial|SomeLanguage),"mysteryandthriller,horror",English,GilKenan,"SamRaimi,RobTapert,RoyLee",DavidLindsay-Abaire,"May22,2015 wide","Sep4,2015",1h33m,"Fox2000Pictures,GhostHousePictures,Metro-Goldwyn-Mayer",,DolbyDigital,$47.3M,
3734,Avengers: Age Of Ultron,76%,83%,PG-13(ViolenceandDestruction|IntenseSeq.ofSci-FiAction),"adventure,scifi,action,fantasy",English,JossWhedon,KevinFeige,JossWhedon,"May1,2015 wide","Sep8,2015",2h21m,MarvelStudios,,"DolbyAtmos,DolbyDigital",$459.0M,MarvelCinematicUniverse
3735,What We Did On Our Holiday,73%,71%,PG-13(SomeThematicElements|Language),comedy,English,"AndyHamilton,GuyJenkin","SuzanneReid,EdwardL.Rubin,DavidM.Thompson,DanWinch","AndyHamilton,GuyJenkin","Jul10,2015 limited","Aug26,2016",1h35m,BBCFilms,,,,
3736,Tio Papi,29%,39%,PG(BriefLanguage|ThematicElements|MildRudeHumor),"comedy,drama",English,FroRojas,"JanetCarrus,JoeyDedio,BrianHerskowitz,FrancesLozada","JoeyDedio,BrianHerskowitz",,"Aug10,2016",1h26m,ActiveFoxProductions,,,,
3737,Dark Places,23%,33%,R(Language|DrugUse|SexualContact|SomeDisturbingViolence),mysteryandthriller,English,GillesPaquet-Brenner,,GillesPaquet-Brenner,"Aug7,2015 limited","Aug5,2016",1h43m,"CuatroPlusFilms,ExclusiveMediaGroup,DenverandDelilahProductions,MandalayPictures",,,$195.5K,
3738,Particle Fever,96%,83%,,documentary,English,MarkA.Levinson,"DavidKaplan,MarkLevinson,AndreaMiller,CarlaSolomon",,,"May27,2016",1h37m,AnthosMedia,,,$869.8K,
3739,The Falling,73%,35%,,"mysteryandthriller,drama",English,CarolMorley,"LucRoeg,CairoCannon",CarolMorley,"Aug7,2015 limited","Aug9,2016",1h42m,,,,,
3740,Get Married If You Can,20%,35%,,comedy,Spanish,MarcoPoloConstandse,,,,"May23,2016",1h47m,,,,,
3741,Manglehorn,51%,24%,PG-13(SomeSexualContent|Language|AccidentandSurgeryImages),drama,English,DavidGordonGreen,"ChristopherWoodrow,MollyConners,LisaMuskat,DavidGordonGreen,DerrickTseng",,"Jun19,2015 limited","Nov30,2016",1h37m,MuskatFilmedProperties,,,$132.1K,
3742,In The Courtyard,71%,47%,R(Language|DrugUse),"comedy,drama",French(France),PierreSalvadori,"PhilippeMartin,PierreSalvadori","PierreSalvadori,DavidLéotard",,"Oct6,2016",1h37m,WildBunch,,,,
3743,Insidious: Chapter 3,57%,51%,PG-13(SomeLanguage|FrighteningImages|ThematicElements|Violence),"mysteryandthriller,horror",English,LeighWhannell,"JasonBlum,OrenPeli,JamesWan",LeighWhannell,"Jun5,2015 wide","Nov1,2016",1h37m,"Blumhouse,OrenPeli",,,$52.2M,
3744,Harmontown,76%,79%,,documentary,English,NeilBerkeley,"NeilBerkeley,J.J.Gerber,DavidHeiman",NeilBerkeley,,"Mar7,2016",1h41m,,,,,
3745,Ardor,36%,26%,R(Violence|SomeGruesomeImages|ASceneofSexuality),"adventure,mysteryandthriller,drama",Spanish,PabloFendrik,"GaelGarcíaBernal,JuanPabloGugliotta,NathaliaVidelaPeña",PabloFendrik,"Jul17,2015 limited","May13,2016",1h40m,"BananeiraFilmes,CananaFilms,IMVALProducciones,MannyFilms,ParticipantPanAmerica,MagmaCine,ParticipantMedia,TelevisiónFederal(Telefe)",,,$18.6K,
3746,Magic Mike XXL,65%,55%,R(PervasiveLanguage|DrugUse|SomeNudity|StrongSexualContent),"comedy,drama",English,GregoryJacobs,"NickWechsler,GregoryJacobs,ChanningTatum,ReidCarolin",ReidCarolin,"Jul1,2015 wide","Jun28,2016",1h55m,"IronHorseEntertainment,WarnerBros.",Scope(2.35:1),,$66.0M,
3747,The Anomaly,0%,24%,,"scifi,mysteryandthriller,action",English,NoelClarke,"MarcelloCiorciolini,MarkLane,NoelClarke",SimonLewis,,"Nov30,2016",1h37m,UnstoppableEntertainment,,,,
3748,Amour Fou,88%,49%,,"history,drama",German,JessicaHausner,"AndréFetzer,OleNicolaisen",JessicaHausner,,"Feb5,2016",1h36m,,,,$11.9K,
3749,Mateo,63%,50%,,documentary,English,AaronI.Naar,"BenjaminDohrmann,AaronI.Naar",,"Aug21,2015 limited","Dec19,2016",1h28m,,,,,
3750,Awake: The Life Of Yogananda,64%,70%,PG(ThematicElements|SomeViolentImages|BriefSmoking),documentary,English,"PaoladiFlorio,LisaLeeman",PeterRader,,"Oct10,2014 limited","Mar22,2016",1h27m,CounterPointFilms,,,$1.0M,
3751,1001 Grams,82%,48%,,drama,Norwegian,BentHamer,"ChristophFriedel,BentHamer,MarianneSlot,ClaudiaSteffen",,,"Oct6,2016",1h33m,,,,,
3752,Sharknado 3: Oh Hell No!,36%,28%,TV14(V|L),"scifi,comedy,horror,action,adventure,mysteryandthriller",English,AnthonyC.Ferrante,DavidMichaelLatt,ThunderLevin,,"Oct11,2016",1h28m,TheAsylum,,,,Sharknado
3753,Gravy,30%,43%,,"horror,comedy,other",English,JamesRodayRodriguez,"CraigChapman,KerryRock","JamesRodayRodriguez,ToddHarthan","Oct2,2015 limited","Nov1,2016",1h35m,SirenDigital-Hollywood,,,,
3754,Last Shift,100%,51%,R(Language|DisturbingImages|BloodyHorrorViolence),"mysteryandthriller,horror",English,AnthonyDiBlasi,"MelissaGruver,ScottPoiley,MichaelFinn,MaryLankfordPoiley","AnthonyDiBlasi,ScottPoiley",,"Nov5,2016",1h30m,,,,,
3755,Air,17%,24%,PG-13(SexualReferences|Language|SomeViolence),"scifi,mysteryandthriller",English,ChristianCantamessa,"ChrisFerguson,BrianKavanaugh-Jones,DavidAlpert,RobertKirkman","ChristianCantamessa,ChrisPasetto","Aug14,2015 limited","Feb7,2017",1h35m,CircleofConfusion,,,,
3756,Cop Car,80%,53%,R(Language|BriefDrugUse|Violence),mysteryandthriller,English,JonWatts,"CodyRyder,AliciaVanCouvering,SamBisbee,AndrewKortschak,JonWatts","JonWatts,ChristopherFord","Aug7,2015 limited","Jan5,2016",1h28m,"ParkPictures,DarkArts",,,$128.0K,
3757,Fresh Dressed,91%,56%,,documentary,English,SachaJenkins,MarcusA.Clarke,SachaJenkins,"Jun26,2015 limited","Dec5,2016",1h24m,MassAppeal,,,,
3758,Ten Thousand Saints,58%,36%,R(LanguageIncludingSexualRefe|DrugUseInvolvingMinors),"comedy,drama",English,"ShariSpringerBerman,RobertPulcini","AnneCarey,AmyNauiokas,LucaBorghese,TrudieStyler,CelineRattray","ShariSpringerBerman,RobertPulcini","Aug14,2015 limited","Oct7,2015",1h46m,"ArcherGray,BadMedicineFilms,MavenPictures",,,,
3759,Unexpected,66%,44%,R(Language),"comedy,drama",English,KrisSwanberg,AndreaRoa,"MeganMercier,KrisSwanberg","Jul24,2015 limited","May22,2016",1h25m,"DarkArtsFilm,ForagerFilms",,,,
3760,Road Hard,50%,76%,,comedy,English,AdamCarolla,"AdamCarolla,NateAdams,KevinHench","AdamCarolla,KevinHench","Mar6,2015 limited","Nov2,2016",1h38m,Sontalia,,,$105.9K,
3761,We Are Still Here,95%,48%,,horror,English,TedGeoghegan,"EbenKostbar,TravisStevens",TedGeoghegan,,"Oct31,2016",1h24m,"SnowfortPictures,DarkSkyFilms",,,,
3762,Final Girl,31%,24%,R(DisturbingViolentContent|SomeLanguage),"mysteryandthriller,action",English,TylerShields,"RobCarliner,JackNasser,JosephNasser",AdamPrince,"Aug14,2015 limited","Nov1,2016",1h30m,"NGNProductions,ProspectPark",,,,
3763,Pod,80%,25%,R(BloodyViolence|LanguageThroughout|GruesomeImages),horror,English,MickeyKeating,"SeanFowler,WilliamDayFrank,MorganWhite",MickeyKeating,"Aug28,2015 limited","Dec6,2016",1h18m,IlliumPictures,,,,
3764,Hidden,NaN,NaN,,,,,,,,,,,,,,
3765,"Electric Boogaloo: The Wild, Untold Story Of Cannon Films",91%,81%,R(SomeDrugUse|Language|GraphicNudity|StrongSexualContent|ViolenceIncludingRape),documentary,English,MarkHartley,"VeronicaFury,BrettRatner",MarkHartley,,"Nov21,2016",1h46m,RatPacDocumentaryFilms,,,,
3766,Blumenthal,56%,48%,,comedy,English,SethFisher,"NicoleAnsariCox,AlexanderCendese,Jean-RaphaelAmbron,GarrettP.Fennelly",SethFisher,,"Feb13,2017",1h36m,,,,,
3767,Furious 7,82%,82%,PG-13(BriefStrongLanguage|Action|Mayhem|SuggestiveContent|Violence),"adventure,mysteryandthriller,action",English,JamesWan,"NealH.Moritz,VinDiesel,MichaelFottrell",ChrisMorgan,"Apr3,2015 wide","Mar1,2016",2h17m,OriginalFilm,,"Datasat,DolbyDigital",$350.8M,TheFastandtheFurious
3768,Pitch Perfect 2,65%,64%,PG-13(Language|Innuendo),"musical,comedy",English,ElizabethBanks,"PaulBrooks,MaxHandelman,ElizabethBanks",KayCannon,"May15,2015 wide","May23,2016",1h55m,GoldCircleFilms,Flat(1.85:1),"SDDS,DolbyDigital,Datasat",$183.7M,
3769,The Connection,77%,71%,R(StrongViolence|Language|DrugContent),"crime,mysteryandthriller,action,drama",French(France),CédricJimenez,AlainGoldman,"CédricJimenez,AudreyDiwan","May15,2015 limited","Oct4,2016",2h15m,"FranceTélévision,CentreNationaldelaCinématographie(CNC),France2Cinéma,ScopePictures,LaWallonie,LégendeFilms,RadioTélévisionBelgeFrancophone,Gaumont,Canal+,RégionProvence-Alpes-Côted'Azur,Ciné+",,,$121.5K,
3770,Return To Sender,14%,24%,,"mysteryandthriller,drama",English,FouadMikati,"CandiceAbela,LaurenBratman,HollyWiersma","PatriciaBeauchamp,JoeGossett","Aug14,2015 limited","Oct4,2016",1h35m,"HollyWiersma,VoltagePictures",,,,
3771,Love & Mercy,89%,85%,PG-13(Language|DrugContent|ThematicElements),"drama,biography",English,BillPohlad,"BillPohlad,ClaireRudnickPolstein,JohnWells","OrenMoverman,MichaelA.Lerner","Jun5,2015 limited","Jun18,2016",2h,"RiverRoad,BattleMountainFilms",,,$12.5M,
3772,Spy,95%,78%,R(LanguageThroughout|BriefGraphicNudity|SomeSexualContent|Violence),"action,comedy",English,PaulFeig,"PeterChernin,JennoTopping,PaulFeig,JessieHenderson",PaulFeig,"Jun5,2015 wide","Sep4,2015",1h55m,"CherninEntertainment,FeigcoEntertainment",,DolbyAtmos,,
3773,Entourage,33%,57%,R(PervasiveLanguage|Nudity|SomeDrugUse|StrongSexualContent),comedy,English,DougEllin,"MarkWahlberg,StephenLevinson,DougEllin",DougEllin,"Jun3,2015 wide","May3,2016",1h44m,"ClosesttotheHole,Leverage",Scope(2.35:1),DolbyDigital,$32.4M,
3774,Saint Laurent,60%,40%,R(SomeLanguage|GraphicNudity|StrongSexualSituations|SubstanceAbuse),"drama,history,biography",French(France),BertrandBonello,"EricAltmayer,NicolasAltmayer","BertrandBonello,ThomasBidegain","May8,2015 limited","Nov30,2016",2h31m,"OrangeStudio,MandarinFilms,OrangePicturesGmbH&Co.KG,EuropaCorp",,,$47.7K,
3775,Aloft,17%,25%,R(SomeSexuality|Language),drama,English,ClaudiaLlosa,,ClaudiaLlosa,"May22,2015 limited","Nov30,2016",1h56m,"WandaVisiónS.A.,ArcadiaMotionPictures",,,$53.0K,
3776,The Heart Machine,95%,48%,,"mysteryandthriller,drama",English,ZacharyWigon,"LucasJoaquin,MaïArakidaIzsak,AlexScharfman",ZacharyWigon,,"Aug10,2016",1h25m,,,,,
3777,The Only Real Game,100%,65%,,documentary,English,MirraBank,"MirraBank,RichardBrockman,MurielPeters,LaineValentino",,,"Sep22,2016",1h22m,,,,,
3778,"Bai Ri Yan Huo (Black Coal, Thin Ice)",96%,59%,,"crime,mysteryandthriller,drama",Chinese,YinanDiao,"VivianQu,ShenYang",YinanDiao,,"Sep28,2015",1h46m,"ChinaFilm,BoneyardEntertainmentChina,OmnijoiMedia",,,,
3779,Soul Boys Of The Western World,72%,58%,,"music,documentary,biography",English(UnitedKingdom),GeorgeHencken,"SteveDagger,ScottMillaney",,,"Apr4,2017",1h50m,,,,,
3780,Famous Nathan,100%,69%,,documentary,English,LloydHandwerker,"LloydHandwerker,MadeleineMolyneaux,LeslieSiegel",LloydHandwerker,,"Sep29,2016",1h36m,,,,,
3781,Disneynature Monkey Kingdom,93%,76%,G,documentary,English,"MarkLinfield,AlastairFothergill","MarkLinfield,AlastairFothergill,KristinaReed",MarkLinfield,"Apr17,2015 wide","Aug10,2016",1h22m,"Disneynature,SilverbackFilms,CrazyApe",,,$16.4M,
3782,In The Name Of My Daughter,52%,43%,R(Nudity|SomeLanguage|Sexuality),"mysteryandthriller,drama",French(Canada),AndréTéchiné,"GuillaumeCanet,OlivierDelbosc,MarcMissonnier","AndréTéchiné,Jean-CharlesLeRoux,CédricAnger","May15,2015 limited","Sep22,2016",2h2m,,,,$275.0K,
